Entrez Gene Interactor A,Entrez Gene Interactor B
377,23647
377,27236
1436,2885
5664,823
6118,4171
10270,4171
4171,4171
6117,4171
6119,4171
81704,998
9322,998
1213,9146
10928,891
1445,3480
27258,6635
25804,6635
23658,6635
51678,2512
10287,2773
3984,3084
6929,3399
3480,3667
8651,3480
3717,10419
3717,8651
3875,867
3875,10049
4000,4001
4301,613
663,596
4286,51176
55729,4152
4286,7329
4176,6117
4297,10450
4297,4297
4301,5818
4301,5216
51690,4886
2036,4926
2114,8558
1436,8651
22938,6497
4893,5910
2321,6464
5910,387
5594,4751
6256,10902
4005,4005
6886,4005
26019,6230
6176,6181
6181,6181
286,84033
6662,2516
2516,8204
2516,8204
1191,1191
2286,10565
5910,3265
5910,3845
7134,7138
7128,8887
999,79872
3672,274
3676,8726
7508,5886
10048,8237
5170,5584
660,11099
3397,8573
4036,1741
1837,1756
2157,5264
57763,4036
5782,9051
5782,6464
1387,6996
1387,326
3718,9220
7088,55502
27429,1432
9564,2889
23647,382
22916,4686
51691,3508
9261,6464
6286,6286
5725,3191
3984,659
4760,9001
9001,9146
1315,22820
50848,7082
9826,5364
11157,6633
51690,6634
27258,6634
51691,6632
29979,2475
3675,274
7534,9564
657,10262
3184,23658
5468,8031
5629,2033
6310,56893
22808,5900
51691,2969
7068,5705
5191,5264
5193,5192
5193,5192
4175,4175
5994,5993
59269,7186
81704,5879
5879,5910
5879,23647
5880,8454
51691,6888
10419,1207
6477,3835
4734,7322
1785,22941
8204,190
4215,5607
4116,9939
3556,54472
26019,1973
5564,51422
5565,51422
1788,7329
7068,10902
8458,988
54476,7098
1317,1317
4170,572
8874,22941
10059,2932
10672,10566
51433,26986
8458,10318
8458,81570
6895,6895
29993,29763
29993,29993
64105,55553
57819,51691
57819,27258
57819,51690
27258,51690
51690,11340
51690,8934
326,326
1894,50855
8500,28964
51102,5914
56915,6421
7068,10499
96764,8726
7329,1107
10210,7329
898,8452
51678,5394
51678,23517
51678,26574
51147,5970
22820,22818
60491,80145
9033,7137
57819,51691
57819,27258
57819,51690
55388,80321
7186,7597
8428,11235
5584,50855
10783,11007
2947,2947
7431,11143
7431,84260
11007,57326
11007,60491
4188,8326
373,373
5092,5092
8812,11007
3099,29979
11007,27018
11143,80321
3983,7431
7431,60491
26258,220134
7718,11007
6449,6696
1725,60491
6602,11007
6733,11338
10126,140735
7186,55707
5991,7186
8878,11345
6449,50848
4188,22893
4188,10148
10054,10055
2571,23498
1312,9319
7718,11143
4188,6548
6271,6286
5515,9319
9146,80318
7360,10425
4188,4188
7138,11007
5704,5705
11143,29911
3190,3190
373,2669
87,7518
9319,9319
331,140735
9129,11007
2563,29979
11284,58529
71,1072
29911,55388
11007,80764
5725,10241
11007,64769
7186,51324
4292,23650
71,71
7186,10758
4175,26525
10403,26258
7186,60491
5552,6449
60491,60491
6303,22980
358,4188
677,1432
11007,54927
4188,7376
5528,8500
56341,56341
3983,7186
4188,7597
7329,8767
6455,6455
23647,84062
1019,1032
998,11135
10044,10278
3183,11007
8468,8812
8812,222546
4176,9939
1173,29079
10241,25804
11145,29979
5886,8878
22934,22934
6464,10241
10241,11345
5601,7597
6944,10241
1848,4188
7186,80764
4188,10922
22934,60491
11007,94121
5635,5635
55198,57403
4188,80764
26258,26258
1173,10900
3183,3845
7755,11007
84245,84245
4188,10758
3183,3183
11345,23786
5601,10262
10241,27332
5914,6258
389,392
4698,4707
10602,10602
3872,11007
7538,11007
11007,55109
1780,140735
4005,22924
9319,57088
2954,2954
29979,29979
6696,56259
6271,6271
7755,10241
26061,26061
11007,55388
3219,4188
7257,57326
6737,60491
7138,8500
11007,84260
7186,25978
7138,7138
10241,55388
10591,10591
79576,80321
5441,11007
7186,25988
6944,11007
10262,10992
11345,79876
9319,23564
5631,51324
3875,11007
11007,27332
10928,29911
8576,22934
7186,22893
10174,54507
10241,11143
9025,11007
6120,6120
51076,51076
10946,11007
7329,128866
26258,55109
5705,7138
7597,10174
10362,11007
11007,51207
51076,51324
10494,11235
23321,140885
10241,84759
11135,79109
4188,84733
10174,79869
8576,54507
23650,80321
7329,9146
4698,11007
6602,10241
10174,10278
3983,10241
8907,10900
6271,60491
10241,10241
1810,54107
8204,80321
1780,83658
7360,7360
22978,22978
443,443
4175,84289
10241,10922
5631,5631
11143,253980
10569,11007
11007,80321
7186,10241
10450,56949
3275,79869
699,10425
9319,60491
8667,11007
445,445
5912,10900
9146,10254
11267,60491
868,10174
3183,8907
7186,8204
11052,11060
22929,22929
7329,23650
2553,23424
3875,9146
9319,57048
8379,23650
5725,5725
7186,7755
5092,60491
11007,64170
3983,29911
3662,7186
3646,10900
9146,29979
3219,6303
331,331
9055,11007
51076,60491
11007,55233
3183,7329
3190,10174
5991,222546
6871,9146
81,58529
1635,60491
5886,7186
8204,11007
1263,9319
4188,6944
6426,11338
3190,7329
10733,10733
2512,2512
358,11007
4188,7755
862,51616
27332,29911
6303,6303
1635,1635
5631,5635
5899,10928
216,216
5704,5716
598,638
10254,10617
87,58529
23650,23650
4171,4175
7186,7186
27258,57819
7307,11338
387,392
8379,8379
578,598
2203,2203
3612,3612
4175,4175
