DATE;TX
01/01/1900;150
01/02/1900;88
01/03/1900;119
01/04/1900;111
01/05/1900;210
01/06/1900;207
01/07/1900;277
01/08/1900;303
01/09/1900;276
01/10/1900;236
01/11/1900;217
01/12/1900;90
01/01/1901;104
01/02/1901;54
01/03/1901;142
01/04/1901;169
01/05/1901;173
01/06/1901;344
01/07/1901;210
01/08/1901;270
01/09/1901;288
01/10/1901;313
01/11/1901;167
01/12/1901;78
01/01/1902;113
01/02/1902;11
01/03/1902;130
01/04/1902;214
01/05/1902;133
01/06/1902;151
01/07/1902;279
01/08/1902;258
01/09/1902;283
01/10/1902;98
01/11/1902;123
01/12/1902;122
01/01/1903;96
01/02/1903;114
01/03/1903;153
01/04/1903;177
01/05/1903;164
01/06/1903;218
01/07/1903;301
01/08/1903;249
01/09/1903;324
01/10/1903;215
01/11/1903;174
01/12/1903;41
01/01/1904;87
01/02/1904;80
01/03/1904;55
01/04/1904;154
01/05/1904;187
01/06/1904;182
01/07/1904;226
01/08/1904;334
01/09/1904;239
01/10/1904;157
01/11/1904;169
01/12/1904;90
01/01/1905;40
01/02/1905;100
01/03/1905;144
01/04/1905;210
01/05/1905;203
01/06/1905;231
01/07/1905;236
01/08/1905;265
01/09/1905;240
01/10/1905;164
01/11/1905;149
01/12/1905;80
01/01/1906;119
01/02/1906;101
01/03/1906;142
01/04/1906;149
01/05/1906;137
01/06/1906;240
01/07/1906;253
01/08/1906;319
01/09/1906;332
01/10/1906;246
01/11/1906;153
01/12/1906;107
01/01/1907;122
01/02/1907;50
01/03/1907;120
01/04/1907;224
01/05/1907;114
01/06/1907;182
01/07/1907;188
01/08/1907;253
01/09/1907;306
01/10/1907;224
01/11/1907;211
01/12/1907;148
01/01/1908;119
01/02/1908;105
01/03/1908;63
01/04/1908;137
01/05/1908;266
01/06/1908;228
01/07/1908;266
01/08/1908;289
01/09/1908;217
01/10/1908;280
01/11/1908;211
01/12/1908;137
01/01/1909;76
01/02/1909;119
01/03/1909;101
01/04/1909;158
01/05/1909;173
01/06/1909;252
01/07/1909;229
01/08/1909;334
01/09/1909;214
01/10/1909;202
01/11/1909;116
01/12/1909;124
01/01/1910;73
01/02/1910;45
01/03/1910;118
01/04/1910;27
01/05/1910;145
01/06/1910;217
01/07/1910;219
01/08/1910;261
01/09/1910;210
01/10/1910;279
01/11/1910;138
01/12/1910;100
01/01/1911;30
01/02/1911;91
01/03/1911;126
01/04/1911;180
01/05/1911;172
01/06/1911;231
01/07/1911;250
01/08/1911;330
01/09/1911;324
01/10/1911;151
01/11/1911;137
01/12/1911;75
01/01/1912;75
01/02/1912;90
01/03/1912;156
01/04/1912;131
01/05/1912;160
01/06/1912;166
01/07/1912;216
01/08/1912;186
01/09/1912;200
01/10/1912;203
01/11/1912;141
01/12/1912;73
01/01/1913;98
01/02/1913;186
01/03/1913;96
01/04/1913;137
01/05/1913;156
01/06/1913;229
01/07/1913;270
01/08/1913;244
01/09/1913;250
01/10/1913;180
01/11/1913;150
01/12/1913;68
01/01/1914;16
01/02/1914;94
01/03/1914;128
01/04/1914;210
01/05/1914;194
01/06/1914;190
01/07/1914;331
01/08/1914;295
01/09/1914;327
01/10/1914;249
01/11/1914;165
01/12/1914;140
01/12/1920;145
01/01/1921;194
01/02/1921;115
01/03/1921;194
01/04/1921;182
01/05/1921;231
01/06/1921;255
01/07/1921;251
01/08/1921;350
01/09/1921;278
01/10/1921;307
01/11/1921;184
01/12/1921;129
01/01/1922;192
01/02/1922;124
01/03/1922;179
01/04/1922;128
01/05/1922;133
01/06/1922;321
01/07/1922;319
01/08/1922;252
01/09/1922;183
01/10/1922;214
01/11/1922;127
01/12/1922;140
01/01/1924;110
01/02/1924;63
01/03/1924;128
01/04/1924;105
01/05/1924;158
01/06/1924;189
01/07/1924;244
01/08/1924;290
01/09/1924;288
01/10/1924;152
01/11/1924;200
01/12/1924;167
01/01/1925;147
01/02/1925;126
01/03/1925;140
01/04/1925;171
01/05/1925;191
01/06/1925;215
01/07/1925;290
01/08/1925;217
01/09/1925;291
01/10/1925;228
01/11/1925;150
01/12/1925;120
01/01/1926;110
01/02/1926;195
01/03/1926;105
01/04/1926;225
01/05/1926;160
01/06/1926;190
01/07/1926;228
01/08/1926;280
01/09/1926;243
01/10/1926;210
01/11/1926;108
01/12/1926;60
01/01/1927;16
01/02/1927;120
01/03/1927;126
01/04/1927;127
01/05/1927;205
01/06/1927;236
01/07/1927;192
01/08/1927;254
01/09/1927;248
01/10/1927;208
01/11/1927;182
01/12/1927;54
01/01/1928;86
01/02/1928;120
01/03/1928;113
01/04/1928;109
01/05/1928;202
01/06/1928;264
01/07/1928;259
01/08/1928;353
01/09/1928;285
01/10/1928;204
01/11/1928;114
01/12/1928;109
01/01/1929;39
01/02/1929;159
01/03/1929;25
01/04/1929;200
01/05/1929;142
01/06/1929;200
01/07/1929;252
01/08/1929;222
01/09/1929;308
01/10/1929;249
01/11/1929;77
01/12/1929;138
01/01/1930;104
01/02/1930;104
01/03/1930;101
01/04/1930;257
01/05/1930;132
01/06/1930;239
01/07/1930;248
01/08/1930;310
01/09/1930;341
01/10/1930;274
01/11/1930;174
01/12/1930;161
01/01/1931;138
01/02/1931;114
01/03/1931;94
01/04/1931;166
01/05/1931;200
01/06/1931;158
01/07/1931;304
01/08/1931;190
01/09/1931;230
01/10/1931;175
01/11/1931;146
01/12/1931;77
01/01/1932;50
01/02/1932;21
01/03/1932;144
01/04/1932;169
01/05/1932;153
01/06/1932;191
01/07/1932;220
01/08/1932;230
01/09/1932;242
01/10/1932;224
01/11/1932;148
01/12/1932;128
01/01/1933;149
01/02/1933;149
01/03/1933;164
01/04/1933;149
01/05/1933;244
01/06/1933;213
01/07/1933;256
01/08/1933;260
01/09/1933;281
01/10/1933;237
01/11/1933;134
01/12/1933;101
01/01/1934;21
01/02/1934;60
01/03/1934;103
01/04/1934;194
01/05/1934;173
01/06/1934;202
01/07/1934;300
01/08/1934;282
01/09/1934;188
01/10/1934;252
01/11/1934;138
01/12/1934;38
01/01/1935;121
