entrez	symbol	CMPO
10001	MED6	CMPO:0000182
10007	GNPDA1	CMPO:0000345
10013	HDAC6	CMPO:0000318
1002	CDH4	CMPO:0000105
1002	CDH4	CMPO:0000361
100287171	WASH1	CMPO:0000345
100287932	TIMM23	CMPO:0000345
1003	CDH5	CMPO:0000307
1003	CDH5	CMPO:0000202
1003	CDH5	CMPO:0000344
1004	CDH6	CMPO:0000318
10042	HMGXB4	CMPO:0000318
10044	SH2D3C	CMPO:0000182
10045	SH2D3A	CMPO:0000157
10048	RANBP9	CMPO:0000318
10049	DNAJB6	CMPO:0000362
10051	SMC4	CMPO:0000329
10051	SMC4	CMPO:0000318
10053	AP1M2	CMPO:0000157
10054	UBA2	CMPO:0000318
10055	SAE1	CMPO:0000362
10059	DNM1L	CMPO:0000346
10060	ABCC9	CMPO:0000140
10063	COX17	CMPO:0000319
10068	IL18BP	CMPO:0000157
10068	IL18BP	CMPO:0000202
10068	IL18BP	CMPO:0000236
10068	IL18BP	CMPO:0000030
10068	IL18BP	CMPO:0000348
10073	SNUPN	CMPO:0000236
10073	SNUPN	CMPO:0000318
10077	TSPAN32	CMPO:0000319
10077	TSPAN32	CMPO:0000318
10081	PDCD7	CMPO:0000182
10083	USH1C	CMPO:0000129
10083	USH1C	CMPO:0000318
1009	CDH11	CMPO:0000071
10090	UST	CMPO:0000319
10093	ARPC4	CMPO:0000318
10093	ARPC4	CMPO:0000182
10095	ARPC1B	CMPO:0000318
10096	ACTR3	CMPO:0000319
10096	ACTR3	CMPO:0000318
10097	ACTR2	CMPO:0000030
10109	ARPC2	CMPO:0000182
10109	ARPC2	CMPO:0000213
10109	ARPC2	CMPO:0000348
10109	ARPC2	CMPO:0000307
10112	KIF20A	CMPO:0000326
10112	KIF20A	CMPO:0000157
10112	KIF20A	CMPO:0000213
10125	RASGRP1	CMPO:0000083
10126	DNAL4	CMPO:0000318
10126	DNAL4	CMPO:0000345
10128	LRPPRC	CMPO:0000182
10128	LRPPRC	CMPO:0000236
10130	PDIA6	CMPO:0000213
10131	TRAP1	CMPO:0000318
10135	NAMPT	CMPO:0000105
10140	TOB1	CMPO:0000157
10142	AKAP9	CMPO:0000319
10144	FAM13A	CMPO:0000246
10146	G3BP1	CMPO:0000345
10148	EBI3	CMPO:0000319
10154	PLXNC1	CMPO:0000157
10157	AASS	CMPO:0000345
10159	ATP6AP2	CMPO:0000346
10159	ATP6AP2	CMPO:0000030
10168	ZNF197	CMPO:0000318
10172	ZNF256	CMPO:0000345
10174	SORBS3	CMPO:0000319
10178	TENM1	CMPO:0000346
10181	RBM5	CMPO:0000345
10181	RBM5	CMPO:0000319
10188	TNK2	CMPO:0000182
1019	CDK4	CMPO:0000345
1019	CDK4	CMPO:0000318
10193	RNF41	CMPO:0000241
10193	RNF41	CMPO:0000118
10193	RNF41	CMPO:0000318
10200	MPHOSPH6	CMPO:0000318
10207	PATJ	CMPO:0000318
10207	PATJ	CMPO:0000319
10210	TOPORS	CMPO:0000236
10210	TOPORS	CMPO:0000213
10210	TOPORS	CMPO:0000237
10212	DDX39A	CMPO:0000318
10212	DDX39A	CMPO:0000030
10212	DDX39A	CMPO:0000319
10212	DDX39A	CMPO:0000182
10227	MFSD10	CMPO:0000030
10227	MFSD10	CMPO:0000318
10227	MFSD10	CMPO:0000213
1024	CDK8	CMPO:0000318
10241	CALCOCO2	CMPO:0000182
10242	KCNMB2	CMPO:0000318
10242	KCNMB2	CMPO:0000319
10245	TIMM17B	CMPO:0000030
10246	SLC17A2	CMPO:0000182
1025	CDK9	CMPO:0000318
1025	CDK9	CMPO:0000340
1025	CDK9	CMPO:0000030
1025	CDK9	CMPO:0000154
1025	CDK9	CMPO:0000305
1025	CDK9	CMPO:0000071
10254	STAM2	CMPO:0000319
10254	STAM2	CMPO:0000318
10256	CNKSR1	CMPO:0000318
10256	CNKSR1	CMPO:0000319
10260	DENND4A	CMPO:0000105
10262	SF3B4	CMPO:0000319
10262	SF3B4	CMPO:0000182
10266	RAMP2	CMPO:0000362
